feature,importance,rank
age,9,1
lvl1_minus_confirm_sec,9,2
crypto_out_total_amount,7,3
crypto_gap_mean_sec,6,4
crypto_round_ratio,6,5
twd_weekend_ratio,5,6
trade_max_price,5,7
from_wallet_reuse_rate,5,8
lvl2_minus_lvl1_sec,5,9
twd_round_1000_ratio,5,10
overall_active_span_sec,5,11
sex,4,12
crypto_gap_min_sec,4,13
crypto_out_avg_twd_value,4,14
crypto_avg_twd_value_log,4,15
trade_avg_price,4,16
trade_market_ratio,3,17
crypto_in_total_twd_value,3,18
crypto_avg_twd_value,3,19
swap_buy_avg_twd,3,20
twd_active_span_sec,3,21
ip_jump_rate,3,22
crypto_in_avg_twd_value,3,23
twd_burstiness,3,24
twd_gap_max_sec,3,25
to_wallet_reuse_rate,3,26
shared_ip_ratio,3,27
avg_time_entropy,3,28
crypto_active_span_sec,2,29
crypto_out_total_twd_value,2,30
twd_deposit_count,2,31
crypto_total_twd_value,2,32
crypto_out_std_amount,2,33
swap_avg_twd,2,34
twd_max_amount,2,35
crypto_gap_max_sec,2,36
trade_night_ratio,2,37
twd_night_ratio,2,38
twd_out_in_amount_ratio,2,39
career,2,40
trade_std_price,2,41
crypto_in_total_amount,2,42
trade_avg_amount,2,43
twd_to_crypto_gap_sec,2,44
swap_buy_ratio,2,45
crypto_avg_amount_log,2,46
twd_gap_mean_sec,2,47
high_risk_from_wallet_ratio,2,48
swap_weekend_ratio,2,49
crypto_txn_per_from_wallet,2,50
trade_weekend_ratio,2,51
crypto_in_avg_amount,2,52
twd_deposit_ratio,2,53
swap_max_crypto,1,54
crypto_deposit_ratio,1,55
total_actions,1,56
crypto_gap_std_sec,1,57
shared_ip_count,1,58
crypto_withdraw_ratio,1,59
trade_gap_mean_sec,1,60
swap_buy_total_twd,1,61
high_risk_to_wallet_ratio,1,62
crypto_txn_per_ip,1,63
trade_avg_price_log,1,64
trade_total_amount,1,65
trade_max_amount,1,66
twd_day_entropy,1,67
swap_gap_mean_sec,1,68
crypto_txn_count,1,69
twd_gap_std_sec,1,70
twd_out_avg_amount_log,1,71
twd_withdraw_deposit_ratio,1,72
crypto_twd_value_cv,1,73
trade_day_entropy,1,74
crypto_total_amount,1,75
