feature,importance,rank
crypto_out_total_twd_value,0.02913331512807816,1
crypto_out_total_amount,0.026634186559247198,2
swap_max_crypto,0.025031046468221164,3
swap_max_twd_log,0.02207352965031531,4
crypto_total_twd_value,0.02153316057606367,5
swap_max_twd,0.01799608199475591,6
crypto_total_amount,0.01725243286275757,7
swap_avg_crypto,0.017138012801827827,8
swap_avg_twd,0.016546850582945916,9
twd_total_amount,0.015954317718582304,10
swap_total_twd,0.015919977590828166,11
crypto_out_max_amount,0.015606542668008887,12
swap_avg_crypto_log,0.015144324195427087,13
twd_in_total_amount,0.014446707001644882,14
crypto_max_twd_value_log,0.014380753070710028,15
age,0.014246205794951857,16
swap_buy_avg_twd,0.013995310916517022,17
sex,0.0138200323523915,18
swap_avg_twd_log,0.012873270374871076,19
swap_total_crypto,0.01252175346821199,20
crypto_max_twd_value,0.012395749553011596,21
crypto_max_amount,0.010635099592939517,22
lvl1_minus_confirm_sec,0.009526980587690196,23
swap_buy_total_twd,0.00931047927345457,24
twd_max_amount_log,0.009217822331918568,25
ip_jump_rate,0.009127572336077309,26
crypto_avg_twd_value_log,0.009106689654679832,27
crypto_max_amount_log,0.008945652729932061,28
crypto_out_avg_amount,0.008491226257247545,29
twd_std_amount,0.008276908372529495,30
lvl2_minus_lvl1_sec,0.008224972101580822,31
overall_active_span_sec,0.00783520315856624,32
crypto_avg_twd_value,0.007707044828146954,33
total_unique_ips,0.007367041707581232,34
crypto_out_avg_twd_value,0.007273811403553602,35
crypto_round_ratio,0.007023176414826361,36
crypto_gap_mean_sec,0.007015931739992638,37
crypto_in_avg_twd_value,0.006964157015346707,38
swap_std_crypto,0.006830408844498674,39
shared_ip_ratio,0.006753668400988135,40
crypto_in_total_twd_value,0.006705169271337847,41
crypto_avg_amount_log,0.0066244276431286775,42
crypto_to_twd_gap_sec,0.006499216519167566,43
crypto_out_std_amount,0.006421579818593696,44
shared_ip_count,0.00638345450212411,45
ip_source_diversity,0.006351191238122975,46
twd_txn_per_active_day,0.006338031615549094,47
twd_in_max_amount,0.006306828837763276,48
twd_to_crypto_gap_sec,0.006287711811651066,49
crypto_avg_amount,0.006214503782041736,50
crypto_std_twd_value,0.006198490384308913,51
twd_gap_mean_sec,0.006051894400649145,52
trade_max_amount,0.005980739985049432,53
twd_deposit_ratio,0.005956439102367423,54
career,0.0059132638782520945,55
twd_in_std_amount,0.0058797228665604055,56
trade_total_amount,0.005854202918521692,57
high_risk_from_wallet_ratio,0.005734856396590315,58
twd_min_amount,0.00568229640896862,59
twd_max_amount,0.005676744659685683,60
trade_avg_price_log,0.0056553193241373955,61
trade_avg_price,0.005639994944224272,62
total_ip_usage_count,0.005587815677644514,63
swap_std_twd,0.005569697704214023,64
twd_avg_amount,0.0054800492451003375,65
crypto_gap_max_sec,0.00547123951555871,66
crypto_deposit_ratio,0.005354797447588968,67
trade_max_price,0.005318896466366263,68
trade_max_amount_log,0.005293673724358625,69
twd_in_avg_amount_log,0.00516617463382674,70
twd_avg_amount_log,0.005105661865690844,71
crypto_in_total_amount,0.00508147025876158,72
crypto_std_amount,0.004962044247041443,73
trade_avg_amount,0.004712708326650078,74
crypto_active_span_sec,0.004578643289838624,75
twd_gap_max_sec,0.004508389505438703,76
crypto_in_avg_amount,0.004351049223184325,77
crypto_gap_min_sec,0.004254576390680613,78
twd_in_avg_amount,0.0042219008472328115,79
twd_weekend_ratio,0.004135768573285138,80
crypto_in_max_amount,0.0041344491342583676,81
twd_txn_count,0.004130240278433404,82
crypto_txn_per_ip,0.0040247540938567975,83
