feature,importance,rank
swap_max_crypto,0.045736548,1
crypto_out_total_twd_value,0.042906158,2
swap_avg_crypto,0.040181108,3
twd_deposit_ratio,0.02353934,4
swap_max_twd,0.020870982,5
swap_buy_avg_twd,0.019919675,6
total_unique_ips,0.017490886,7
crypto_out_total_amount,0.016078403,8
sex,0.013581612,9
swap_avg_twd,0.0116651915,10
total_ip_usage_count,0.00900803,11
crypto_total_twd_value,0.008297183,12
ip_jump_rate,0.008157578,13
crypto_round_ratio,0.0068906145,14
twd_out_max_amount,0.0068510966,15
trade_total_amount,0.0067446884,16
trade_max_amount_log,0.0067387614,17
shared_ip_ratio,0.0066860546,18
twd_std_amount,0.0063306643,19
crypto_in_total_twd_value,0.0063172732,20
crypto_deposit_ratio,0.006119416,21
high_risk_from_wallet_ratio,0.005868394,22
crypto_in_avg_twd_value,0.005802302,23
twd_round_1000_ratio,0.0057058823,24
unique_action_types,0.005621444,25
twd_withdraw_ratio,0.0056095556,26
crypto_txn_per_active_day,0.0056035374,27
twd_total_amount,0.00541667,28
swap_max_twd_log,0.0052494933,29
age,0.005211757,30
trade_price_cv,0.0052102646,31
trade_buy_ratio,0.005183408,32
swap_sell_total_twd,0.005175821,33
trade_weekend_ratio,0.0051184245,34
crypto_night_ratio,0.005115276,35
crypto_avg_twd_value,0.005094066,36
twd_weekend_ratio,0.005073738,37
trade_max_amount,0.00496853,38
high_risk_to_wallet_ratio,0.004949259,39
crypto_day_entropy,0.004946471,40
shared_ip_count,0.0049370686,41
swap_std_crypto,0.0048477887,42
trade_avg_price_log,0.004841832,43
trade_market_ratio,0.0048354375,44
is_fast_crypto_to_twd,0.0048149247,45
twd_out_avg_amount_log,0.004754963,46
crypto_txn_per_ip,0.0047086603,47
crypto_avg_twd_value_log,0.004693796,48
txn_type_diversity,0.0046916693,49
crypto_txn_per_from_wallet,0.0046832776,50
user_source,0.0046427217,51
twd_out_avg_amount,0.0046033347,52
crypto_max_twd_value_log,0.0045965645,53
total_actions,0.004591941,54
swap_sell_ratio,0.004565661,55
twd_gap_mean_sec,0.004533208,56
swap_total_crypto,0.0045217676,57
twd_txn_per_active_day,0.0044811973,58
crypto_out_max_amount,0.004477218,59
crypto_to_twd_gap_sec,0.0044739502,60
crypto_in_max_amount,0.0044664587,61
network_out_degree,0.00440138,62
network_in_avg_value,0.004349906,63
trade_sell_ratio,0.0043198294,64
twd_in_max_amount,0.004258483,65
crypto_std_amount,0.00422852,66
twd_out_total_amount,0.004210603,67
crypto_out_in_amount_ratio,0.0041383896,68
crypto_gap_mean_sec,0.004125278,69
crypto_unique_currency,0.0041217017,70
crypto_out_avg_twd_value,0.004102831,71
crypto_max_twd_value,0.0040972475,72
twd_night_ratio,0.004091769,73
crypto_std_twd_value,0.0040760757,74
crypto_unique_from_wallet,0.004041825,75
twd_min_amount,0.0040410766,76
trade_night_ratio,0.0040379465,77
trade_max_price,0.0040164394,78
trade_avg_price,0.0040051644,79
overall_active_span_sec,0.0039653676,80
crypto_unique_to_wallet,0.0039527006,81
twd_max_amount,0.0039341156,82
ip_consistency_score,0.0039287577,83
trade_avg_amount,0.0039285757,84
twd_in_total_amount,0.0039070947,85
twd_round_10000_ratio,0.00387693,86
crypto_max_amount_log,0.0038587463,87
crypto_total_amount,0.0037919192,88
twd_gap_std_sec,0.003764397,89
crypto_has_ip_ratio,0.0036955855,90
crypto_max_amount,0.003695463,91
twd_to_crypto_gap_sec,0.0036718538,92
crypto_gap_max_sec,0.0036702459,93
trade_avg_amount_log,0.003661873,94
high_risk_from_wallet_count,0.0036334018,95
network_in_total_value,0.0036218127,96
twd_max_amount_log,0.0036062535,97
is_fast_twd_to_crypto,0.0035947848,98
twd_in_avg_amount_log,0.0035876946,99
trade_std_price,0.003518408,100
swap_gap_min_sec,0.0035168023,101
crypto_withdraw_deposit_ratio,0.0035155392,102
trade_gap_mean_sec,0.0035043987,103
trade_gap_max_sec,0.0035012073,104
career,0.0034710008,105
lvl1_minus_confirm_sec,0.003447644,106
twd_in_std_amount,0.0034384683,107
trade_hour_entropy,0.003411502,108
crypto_in_std_amount,0.0033872004,109
swap_twd_cv,0.0033770443,110
crypto_in_total_amount,0.003367241,111
twd_gap_max_sec,0.0033610298,112
